# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# head-on 1v1 at tournament standard. free_hits is what the longer-ranged unit lands before the other closes.
a,b,winner,a_hits,b_hits,seconds,free_hits,untouched,note
Berserker,SkeletonWarriors,a,4,3,2.73,0,,
Berserker,Skeletons,a,1,0,0.40,1,yes,
Berserker,SpearGoblins,a,2,2,3.80,0,,
Berserker,Tesla,b,3,5,5.10,3,,
Berserker,ThreeMusketeers,b,4,5,5.90,3,,
Berserker,Valkyrie,b,9,4,5.90,0,,
Berserker,Wallbreakers,a,4,0,2.20,4,yes,b cannot target a
Berserker,Witch,b,6,7,7.00,3,,
Berserker,WitchMother,a,6,6,6.53,0,,
Berserker,Wizard,b,3,4,5.20,2,,
Berserker,Wizard_EV1,b,3,4,5.20,2,,
Berserker,Xbow,b,0,16,6.00,16,yes,
Berserker,ZapMachine,b,0,1,3.00,1,yes,
Berserker,goblinstein_doctor,a,8,4,7.73,0,,
BlowdartGoblin,BombTower,a,9,0,6.85,9,yes,b is out-reached and cannot close
BlowdartGoblin,Bomber,a,3,0,2.05,3,yes,
BlowdartGoblin,BossBandit,b,7,2,5.60,0,,
BlowdartGoblin,Bowler,b,7,1,5.33,0,,
BlowdartGoblin,BushGoblin,a,3,0,2.05,3,yes,
BlowdartGoblin,Cannon,a,6,0,4.45,6,yes,b is out-reached and cannot close
BlowdartGoblin,DarkPrince,b,8,1,6.30,0,,
BlowdartGoblin,DarkWitch,a,6,0,4.45,6,yes,
BlowdartGoblin,DartBarrell,b,2,2,2.03,0,,
BlowdartGoblin,ElectroDragon,a,7,1,5.25,5,,
BlowdartGoblin,ElectroGiant,a,27,0,21.25,27,yes,b cannot target a
BlowdartGoblin,ElectroSpirit,a,2,0,1.25,2,yes,
BlowdartGoblin,ElectroWizard,a,5,1,3.65,3,,
BlowdartGoblin,EliteArcher,b,2,2,1.50,1,,
BlowdartGoblin,ElixirGolem,a,11,0,8.45,11,yes,b cannot target a
BlowdartGoblin,ElixirGolem2,a,6,0,4.45,6,yes,b cannot target a
BlowdartGoblin,ElixirGolem4,a,3,0,2.05,3,yes,b cannot target a
BlowdartGoblin,FireSpirits,a,2,0,1.25,2,yes,
BlowdartGoblin,Firecracker,a,3,0,2.05,3,yes,
BlowdartGoblin,FirespiritHut,a,5,1,3.65,3,,
BlowdartGoblin,Fisherman,a,6,0,4.45,6,yes,
BlowdartGoblin,Ghost,b,6,1,4.73,0,,
BlowdartGoblin,Giant,a,27,0,21.25,27,yes,b cannot target a
BlowdartGoblin,GiantBuffer,a,19,0,14.85,19,yes,b cannot target a
BlowdartGoblin,GiantSkeleton,b,8,1,6.70,0,,
BlowdartGoblin,GoblinDemolisher,b,4,2,3.20,0,,
BlowdartGoblin,GoblinGang,a,2,0,1.25,2,yes,
BlowdartGoblin,GoblinGiant,a,21,0,16.45,21,yes,b cannot target a
BlowdartGoblin,GoblinMachine,b,9,2,7.20,0,,
BlowdartGoblin,Goblins,a,2,0,1.25,2,yes,
BlowdartGoblin,Goblinstein,a,16,0,12.45,16,yes,b cannot target a
BlowdartGoblin,GoldenKnight,b,9,2,6.90,0,,
BlowdartGoblin,Golem,a,34,0,26.85,34,yes,b cannot target a
BlowdartGoblin,Golemite,a,7,0,5.25,7,yes,b cannot target a
BlowdartGoblin,Heal,a,2,0,1.25,2,yes,
BlowdartGoblin,HogRider,a,12,0,9.25,12,yes,b cannot target a
BlowdartGoblin,IceGolemite,a,9,0,6.85,9,yes,b cannot target a
BlowdartGoblin,IceSpirits,a,2,0,1.25,2,yes,
BlowdartGoblin,IceWizard,a,5,1,3.65,3,,
BlowdartGoblin,InfernoDragon,b,7,4,5.40,0,,
BlowdartGoblin,InfernoTower,a,12,0,9.25,12,yes,b is out-reached and cannot close
BlowdartGoblin,KingTower,b,3,3,2.50,1,,
BlowdartGoblin,Knight,b,9,2,7.20,0,,
BlowdartGoblin,LavaHound,a,24,0,18.85,24,yes,b cannot target a
BlowdartGoblin,LavaPups,a,2,0,1.25,2,yes,
BlowdartGoblin,LittlePrince,a,5,2,3.65,2,,
BlowdartGoblin,MegaKnight,b,8,1,6.50,0,,
BlowdartGoblin,MegaMinion,a,6,0,4.45,6,yes,
BlowdartGoblin,MightyMiner,b,9,5,7.20,0,,
BlowdartGoblin,Miner,b,7,2,5.63,0,,
BlowdartGoblin,MiniPekka,b,6,1,4.90,0,,
BlowdartGoblin,MiniSparkys,a,4,0,2.85,4,yes,
BlowdartGoblin,MinionHorde,a,2,0,1.25,2,yes,
BlowdartGoblin,Minions,a,2,0,1.25,2,yes,
BlowdartGoblin,Monk,b,8,2,6.70,0,,
BlowdartGoblin,Mortar,b,1,1,3.70,0,,
BlowdartGoblin,MovingCannon,b,3,2,2.30,0,,
BlowdartGoblin,Musketeer,b,2,2,1.80,0,,
BlowdartGoblin,Musketeer_EV1,b,2,2,1.80,0,,
BlowdartGoblin,Pekka,b,10,1,8.37,0,,
BlowdartGoblin,Phoenix,a,7,0,5.25,7,yes,
BlowdartGoblin,Prince,b,7,1,5.80,0,,
BlowdartGoblin,PrincessTower,b,1,3,1.60,2,,
BlowdartGoblin,RageBarbarian,b,5,2,4.10,0,,
BlowdartGoblin,RamRider,a,12,0,9.25,12,yes,b cannot target a
BlowdartGoblin,RascalGirl,a,2,0,1.25,2,yes,
BlowdartGoblin,Rascals,b,10,2,8.30,0,,
BlowdartGoblin,Ronin,b,6,1,4.53,0,,
BlowdartGoblin,RoyalGiant,a,21,0,16.45,21,yes,b cannot target a
BlowdartGoblin,RoyalHogs,a,6,0,4.45,6,yes,b cannot target a
BlowdartGoblin,RoyalRecruits,a,6,0,4.45,6,yes,
BlowdartGoblin,SkeletonArmy,a,1,0,0.45,1,yes,
BlowdartGoblin,SkeletonDragons,a,4,0,2.85,4,yes,
BlowdartGoblin,SkeletonKing,b,10,2,8.20,0,,
BlowdartGoblin,SkeletonWarriors,a,3,0,2.05,3,yes,
BlowdartGoblin,Skeletons,a,1,0,0.45,1,yes,
BlowdartGoblin,SpearGoblins,a,1,0,0.45,1,yes,
BlowdartGoblin,Tesla,a,8,0,6.05,8,yes,b is out-reached and cannot close
BlowdartGoblin,ThreeMusketeers,b,3,2,2.50,0,,
BlowdartGoblin,Valkyrie,b,8,1,6.70,0,,
BlowdartGoblin,Wallbreakers,a,3,0,2.05,3,yes,b cannot target a
BlowdartGoblin,Witch,b,3,2,2.50,0,,
BlowdartGoblin,WitchMother,b,3,2,2.70,0,,
BlowdartGoblin,Wizard,b,2,1,2.00,0,,
BlowdartGoblin,Wizard_EV1,b,2,1,2.00,0,,
BlowdartGoblin,Xbow,b,0,5,1.60,5,yes,
BlowdartGoblin,ZapMachine,b,6,1,5.00,0,,
BlowdartGoblin,goblinstein_doctor,a,5,1,3.65,3,,
BombTower,Bomber,a,2,1,3.10,2,,
BombTower,BossBandit,b,5,6,9.67,0,,
BombTower,Bowler,b,8,5,14.67,0,,
BombTower,BushGoblin,a,2,0,3.10,2,yes,
BombTower,Cannon,a,4,0,6.70,4,yes,b is out-reached and cannot close
BombTower,DarkPrince,b,7,6,12.80,0,,
BombTower,DarkWitch,a,5,3,8.50,3,,
BombTower,DartBarrell,b,0,8,8.30,8,yes,a cannot target b
BombTower,ElectroDragon,b,0,8,18.60,8,yes,a cannot target b
BombTower,ElectroGiant,b,12,9,21.60,0,,
BombTower,ElectroSpirit,a,1,0,1.30,1,yes,
BombTower,ElectroWizard,a,4,3,6.70,1,,
BombTower,EliteArcher,b,0,11,11.40,11,yes,a is out-reached and cannot close
BombTower,ElixirGolem,b,7,6,12.73,0,,
BombTower,ElixirGolem2,a,4,2,6.70,3,,
BombTower,ElixirGolem4,a,2,0,3.10,2,yes,
BombTower,FireSpirits,a,1,0,1.30,1,yes,
BombTower,Firecracker,a,2,1,3.10,1,,
BombTower,FirespiritHut,a,4,3,6.70,1,,
BombTower,Fisherman,a,4,1,6.70,3,,
BombTower,Ghost,b,0,6,13.40,6,yes,a cannot target b
BombTower,Giant,b,8,6,14.90,0,,
BombTower,GiantBuffer,b,10,9,17.80,0,,
BombTower,GiantSkeleton,b,6,5,11.40,0,,
BombTower,GoblinDemolisher,b,5,8,9.30,0,,
BombTower,GoblinGang,a,1,0,1.30,1,yes,
BombTower,GoblinGiant,b,9,8,16.00,0,,
BombTower,GoblinMachine,b,6,6,11.50,0,,
BombTower,Goblins,a,1,0,1.30,1,yes,
BombTower,Goblinstein,a,11,10,19.30,3,,
BombTower,GoldenKnight,b,7,9,12.70,0,,
BombTower,Golem,b,10,5,18.50,0,,
BombTower,Golemite,a,5,0,8.50,5,yes,
BombTower,Heal,a,1,0,1.30,1,yes,
BombTower,HogRider,b,5,5,10.00,0,,
BombTower,IceGolemite,a,6,1,10.30,5,,
BombTower,IceSpirits,a,1,0,1.30,1,yes,
BombTower,IceWizard,a,4,3,6.70,1,,
BombTower,InfernoDragon,b,0,9,6.90,9,yes,a cannot target b
BombTower,InfernoTower,b,2,8,4.00,1,,
BombTower,KingTower,b,0,15,14.50,15,yes,a is out-reached and cannot close
BombTower,Knight,b,7,7,12.70,0,,
BombTower,LavaHound,b,0,26,36.13,26,yes,a cannot target b
BombTower,LavaPups,b,0,17,32.30,17,yes,a cannot target b
BombTower,LittlePrince,a,4,5,6.70,1,,
BombTower,MegaKnight,b,8,6,14.50,0,,
BombTower,MegaMinion,b,0,5,11.50,5,yes,a cannot target b
BombTower,MightyMiner,b,5,10,8.70,0,,
BombTower,Miner,a,6,5,10.30,2,,
BombTower,MiniPekka,b,3,2,6.17,0,,
BombTower,MiniSparkys,a,3,1,4.90,1,,
BombTower,MinionHorde,b,0,13,17.43,13,yes,a cannot target b
BombTower,Minions,b,0,13,17.43,13,yes,a cannot target b
BombTower,Monk,b,7,10,12.60,0,,
BombTower,Mortar,b,0,6,27.20,6,yes,a is out-reached and cannot close
BombTower,MovingCannon,b,3,7,6.30,1,,
BombTower,Musketeer,b,3,7,6.30,1,,
BombTower,Musketeer_EV1,b,3,7,6.30,1,,
BombTower,Pekka,b,5,2,9.50,0,,
BombTower,Phoenix,b,0,7,10.80,7,yes,a cannot target b
BombTower,Prince,b,5,4,9.50,0,,
BombTower,PrincessTower,b,0,15,11.20,15,yes,a is out-reached and cannot close
BombTower,RageBarbarian,b,4,6,7.05,0,,
BombTower,RamRider,a,8,5,13.90,3,,
BombTower,RascalGirl,a,2,2,3.10,1,,
BombTower,Rascals,b,8,7,15.30,0,,
BombTower,Ronin,b,4,4,8.40,0,,
BombTower,RoyalGiant,b,5,5,9.43,0,,
BombTower,RoyalHogs,a,4,3,6.70,2,,
BombTower,RoyalRecruits,a,5,3,8.50,3,,
BombTower,SkeletonArmy,a,1,0,1.30,1,yes,
BombTower,SkeletonDragons,b,0,9,19.27,9,yes,a cannot target b
BombTower,SkeletonKing,b,9,7,15.70,0,,
BombTower,SkeletonWarriors,a,3,2,4.90,2,,
BombTower,Skeletons,a,1,0,1.30,1,yes,
BombTower,SpearGoblins,a,1,0,1.30,1,yes,
BombTower,Tesla,a,6,0,10.30,6,yes,b is out-reached and cannot close
BombTower,ThreeMusketeers,a,4,5,6.70,0,,
BombTower,Valkyrie,b,7,6,13.70,0,,
BombTower,Wallbreakers,a,2,0,3.10,2,yes,
BombTower,Witch,a,4,6,6.70,0,,
BombTower,WitchMother,a,3,4,4.90,0,,
BombTower,Wizard,a,4,4,6.70,1,,
BombTower,Wizard_EV1,b,4,5,7.10,0,,
BombTower,Xbow,b,0,24,9.20,24,yes,a is out-reached and cannot close
BombTower,ZapMachine,b,4,2,8.33,0,,
BombTower,goblinstein_doctor,a,4,3,6.70,1,,
Bomber,BossBandit,b,2,2,4.27,0,,
Bomber,Bowler,b,2,2,5.17,0,,
Bomber,BushGoblin,a,2,0,3.40,2,yes,
Bomber,Cannon,b,0,2,1.10,2,yes,
Bomber,DarkPrince,b,3,2,5.70,0,,
Bomber,DarkWitch,b,2,1,3.45,0,,
Bomber,DartBarrell,b,0,2,1.70,2,yes,a cannot target b
Bomber,ElectroDragon,b,0,2,4.50,2,yes,a cannot target b
Bomber,ElectroGiant,a,18,0,32.20,18,yes,b cannot target a
Bomber,ElectroSpirit,a,1,1,1.60,0,,
Bomber,ElectroWizard,b,2,3,4.80,1,,
Bomber,EliteArcher,b,0,3,2.60,3,yes,
Bomber,ElixirGolem,a,7,0,12.40,7,yes,b cannot target a
Bomber,ElixirGolem2,a,4,0,7.00,4,yes,b cannot target a
Bomber,ElixirGolem4,a,2,0,3.40,2,yes,b cannot target a
Bomber,FireSpirits,a,1,1,1.60,0,,
Bomber,Firecracker,a,2,1,4.90,0,,
Bomber,FirespiritHut,b,1,2,2.90,1,,
Bomber,Fisherman,b,3,2,5.80,0,,
Bomber,Ghost,b,0,2,5.20,2,yes,a cannot target b
Bomber,Giant,a,18,0,32.20,18,yes,b cannot target a
Bomber,GiantBuffer,a,13,0,23.20,13,yes,b cannot target a
Bomber,GiantSkeleton,b,3,2,6.00,0,,
Bomber,GoblinDemolisher,b,0,2,1.70,2,yes,
Bomber,GoblinGang,a,1,0,1.60,1,yes,
Bomber,GoblinGiant,a,14,0,25.00,14,yes,b cannot target a
Bomber,GoblinMachine,b,3,2,5.20,0,,
Bomber,Goblins,a,1,0,1.60,1,yes,
Bomber,Goblinstein,a,11,0,19.60,11,yes,b cannot target a
Bomber,GoldenKnight,b,2,2,4.90,0,,
Bomber,Golem,a,23,0,41.20,23,yes,b cannot target a
Bomber,Golemite,a,5,0,8.80,5,yes,b cannot target a
Bomber,Heal,a,1,1,1.60,0,,
Bomber,HogRider,a,8,0,14.20,8,yes,b cannot target a
Bomber,IceGolemite,a,6,0,10.60,6,yes,b cannot target a
Bomber,IceSpirits,a,1,1,1.60,0,,
Bomber,IceWizard,b,3,4,6.30,1,,
Bomber,InfernoDragon,b,0,4,3.40,4,yes,a cannot target b
Bomber,InfernoTower,b,0,4,2.40,4,yes,
Bomber,KingTower,b,0,4,3.50,4,yes,
Bomber,Knight,b,3,2,5.20,0,,
Bomber,LavaHound,neither,0,0,0.00,0,,neither can target the other
Bomber,LavaPups,b,0,4,8.70,4,yes,a cannot target b
Bomber,LittlePrince,b,1,3,3.20,2,,
Bomber,MegaKnight,b,3,2,6.20,0,,
Bomber,MegaMinion,b,0,1,4.00,1,yes,a cannot target b
Bomber,MightyMiner,b,3,5,5.20,0,,
Bomber,Miner,b,2,2,4.30,0,,
Bomber,MiniPekka,b,2,1,3.57,0,,
Bomber,MiniSparkys,a,3,2,5.20,0,,
Bomber,MinionHorde,b,0,3,4.43,3,yes,a cannot target b
Bomber,Minions,b,0,3,4.43,3,yes,a cannot target b
Bomber,Monk,b,3,3,5.50,0,,
Bomber,Mortar,b,0,2,8.40,2,yes,
Bomber,MovingCannon,b,0,2,1.30,2,yes,
Bomber,Musketeer,b,0,2,1.30,2,yes,
Bomber,Musketeer_EV1,b,0,2,1.30,2,yes,
Bomber,Pekka,b,3,1,5.70,0,,
Bomber,Phoenix,b,0,2,4.30,2,yes,a cannot target b
Bomber,Prince,b,2,1,3.80,0,,
Bomber,PrincessTower,b,0,4,2.40,4,yes,
Bomber,RageBarbarian,b,1,2,3.10,0,,
Bomber,RamRider,a,8,0,14.20,8,yes,b cannot target a
Bomber,RascalGirl,b,1,3,2.50,2,,
Bomber,Rascals,b,3,2,6.30,0,,
Bomber,Ronin,b,1,1,3.20,0,,
Bomber,RoyalGiant,a,15,0,27.30,15,yes,b cannot target a
Bomber,RoyalHogs,a,4,0,7.00,4,yes,b cannot target a
Bomber,RoyalRecruits,b,3,3,6.30,0,,
Bomber,SkeletonArmy,a,1,0,1.60,1,yes,
Bomber,SkeletonDragons,b,0,3,6.27,3,yes,a cannot target b
Bomber,SkeletonKing,b,3,2,6.20,0,,
Bomber,SkeletonWarriors,b,2,3,4.43,0,,
Bomber,Skeletons,a,1,0,1.60,1,yes,
Bomber,SpearGoblins,a,1,1,2.10,0,,
Bomber,Tesla,b,0,2,1.80,2,yes,
Bomber,ThreeMusketeers,b,0,2,2.00,2,yes,
Bomber,Valkyrie,b,3,2,6.20,0,,
Bomber,Wallbreakers,a,2,0,3.40,2,yes,b cannot target a
Bomber,Witch,b,1,3,2.60,2,,
Bomber,WitchMother,b,1,3,2.70,2,,
Bomber,Wizard,b,0,2,2.40,2,yes,
Bomber,Wizard_EV1,b,0,2,2.40,2,yes,
Bomber,Xbow,b,0,6,2.00,6,yes,
Bomber,ZapMachine,b,1,1,3.00,0,,
Bomber,goblinstein_doctor,b,2,3,4.90,1,,
BossBandit,Bowler,a,9,4,11.63,0,,
BossBandit,BushGoblin,a,2,1,1.80,1,,
BossBandit,Cannon,a,4,8,7.13,0,,
BossBandit,DarkPrince,a,6,4,6.47,1,,
BossBandit,DarkWitch,a,4,4,4.53,0,,
BossBandit,DartBarrell,b,0,16,17.10,16,yes,a cannot target b
BossBandit,ElectroDragon,b,0,14,28.70,14,yes,a cannot target b
BossBandit,ElectroGiant,a,17,0,18.57,17,yes,b cannot target a
BossBandit,ElectroSpirit,a,1,1,1.83,0,,
BossBandit,ElectroWizard,a,3,3,5.70,0,,
BossBandit,EliteArcher,a,3,7,7.03,0,,
BossBandit,ElixirGolem,a,7,0,7.30,7,yes,b cannot target a
BossBandit,ElixirGolem2,a,4,0,4.00,4,yes,b cannot target a
BossBandit,ElixirGolem4,a,2,0,1.80,2,yes,b cannot target a
BossBandit,FireSpirits,a,1,1,1.83,0,,
BossBandit,Firecracker,a,2,1,5.27,0,,
BossBandit,FirespiritHut,a,3,3,6.03,0,,
BossBandit,Fisherman,a,4,3,4.27,1,,
BossBandit,Ghost,b,0,11,19.20,11,yes,a cannot target b
BossBandit,Giant,a,17,0,18.57,17,yes,b cannot target a
BossBandit,GiantBuffer,a,12,0,13.07,12,yes,b cannot target a
BossBandit,GiantSkeleton,b,11,10,12.70,0,,
BossBandit,GoblinDemolisher,a,6,8,9.00,0,,
BossBandit,GoblinGang,a,1,1,0.70,0,,
BossBandit,GoblinGiant,a,13,0,14.17,13,yes,b cannot target a
BossBandit,GoblinMachine,a,10,9,10.87,0,,
BossBandit,Goblins,a,1,1,0.70,0,,
BossBandit,Goblinstein,a,10,0,10.87,10,yes,b cannot target a
BossBandit,GoldenKnight,a,8,9,8.67,0,,
BossBandit,Golem,a,21,0,22.70,21,yes,b cannot target a
BossBandit,Golemite,a,5,0,5.10,5,yes,b cannot target a
BossBandit,Heal,a,1,1,1.83,0,,
BossBandit,HogRider,a,7,0,7.30,7,yes,b cannot target a
BossBandit,IceGolemite,a,6,0,6.20,6,yes,b cannot target a
BossBandit,IceSpirits,a,1,1,1.83,0,,
BossBandit,IceWizard,a,3,3,6.03,0,,
BossBandit,InfernoDragon,b,0,12,5.60,12,yes,a cannot target b
BossBandit,InfernoTower,b,1,10,4.80,8,,
BossBandit,KingTower,a,18,24,23.53,0,,
BossBandit,Knight,a,8,7,8.67,0,,
BossBandit,LavaHound,neither,0,0,0.00,0,,neither can target the other
BossBandit,LavaPups,b,0,33,55.10,33,yes,a cannot target b
BossBandit,LittlePrince,a,3,5,6.03,0,,
BossBandit,MegaKnight,b,15,10,16.50,0,,
BossBandit,MegaMinion,b,0,9,13.10,9,yes,a cannot target b
BossBandit,MightyMiner,b,4,13,5.50,2,,
BossBandit,Miner,a,5,4,5.37,0,,
BossBandit,MiniPekka,b,5,4,5.90,0,,
BossBandit,MiniSparkys,a,3,2,5.37,0,,
BossBandit,MinionHorde,b,0,25,29.50,25,yes,a cannot target b
BossBandit,Minions,b,0,25,29.50,25,yes,a cannot target b
BossBandit,Monk,a,10,13,10.87,0,,
BossBandit,Mortar,a,6,3,13.33,0,,
BossBandit,MovingCannon,b,7,13,11.20,4,,
BossBandit,Musketeer,a,3,7,6.37,0,,
BossBandit,Musketeer_EV1,a,3,7,6.37,0,,
BossBandit,Pekka,b,6,4,6.70,0,,
BossBandit,Phoenix,b,0,13,12.40,13,yes,a cannot target b
BossBandit,Prince,a,8,6,8.93,0,,
BossBandit,PrincessTower,a,11,21,16.17,0,,
BossBandit,RageBarbarian,a,6,8,6.20,0,,
BossBandit,RamRider,a,8,0,8.40,8,yes,b cannot target a
BossBandit,RascalGirl,a,2,5,4.60,0,,
BossBandit,Rascals,a,8,5,8.40,1,,
BossBandit,Ronin,a,8,6,8.67,1,,
BossBandit,RoyalGiant,a,13,0,16.70,13,yes,b cannot target a
BossBandit,RoyalHogs,a,4,0,4.00,4,yes,b cannot target a
BossBandit,RoyalRecruits,a,4,3,4.53,0,,
BossBandit,SkeletonArmy,a,1,0,0.70,1,yes,
BossBandit,SkeletonDragons,b,0,18,35.60,18,yes,a cannot target b
BossBandit,SkeletonKing,a,10,6,10.87,1,,
BossBandit,SkeletonWarriors,a,3,3,3.43,0,,
BossBandit,Skeletons,a,1,0,0.70,1,yes,
BossBandit,SpearGoblins,a,1,2,3.50,0,,
BossBandit,Tesla,a,5,7,8.23,0,,
BossBandit,ThreeMusketeers,a,4,6,7.47,0,,
BossBandit,Valkyrie,a,8,5,8.67,1,,
BossBandit,Wallbreakers,a,2,0,1.80,2,yes,b cannot target a
BossBandit,Witch,a,4,7,7.13,0,,
BossBandit,WitchMother,a,3,6,6.03,0,,
BossBandit,Wizard,a,4,5,7.13,0,,
BossBandit,Wizard_EV1,a,5,6,8.23,0,,
BossBandit,Xbow,a,7,37,14.43,0,,
BossBandit,ZapMachine,b,4,2,7.00,1,,
BossBandit,goblinstein_doctor,a,3,3,6.03,0,,
Bowler,BushGoblin,a,2,1,4.50,1,,
Bowler,Cannon,a,3,9,9.00,0,,
Bowler,DarkPrince,b,5,8,13.60,0,,
Bowler,DarkWitch,a,4,6,9.50,1,,
Bowler,DartBarrell,b,0,13,13.80,13,yes,a cannot target b
Bowler,ElectroDragon,b,0,11,22.90,11,yes,a cannot target b
Bowler,ElectroGiant,a,14,0,34.50,14,yes,b cannot target a
Bowler,ElectroSpirit,a,1,1,2.00,0,,
Bowler,ElectroWizard,a,3,4,8.33,0,,
Bowler,EliteArcher,a,2,8,8.50,0,,
Bowler,ElixirGolem,a,6,0,14.50,6,yes,b cannot target a
Bowler,ElixirGolem2,a,3,0,7.00,3,yes,b cannot target a
Bowler,ElixirGolem4,a,2,0,4.50,2,yes,b cannot target a
Bowler,FireSpirits,a,1,1,2.00,0,,
Bowler,Firecracker,a,2,2,7.17,0,,
Bowler,FirespiritHut,a,3,5,9.00,0,,
Bowler,Fisherman,a,4,5,9.50,1,,
Bowler,Ghost,b,0,8,15.67,8,yes,a cannot target b
Bowler,Giant,a,14,0,34.50,14,yes,b cannot target a
Bowler,GiantBuffer,a,10,0,24.50,10,yes,b cannot target a
Bowler,GiantSkeleton,b,5,8,13.30,0,,
Bowler,GoblinDemolisher,b,4,12,12.70,3,,
Bowler,GoblinGang,a,1,0,2.00,1,yes,
Bowler,GoblinGiant,a,11,0,27.00,11,yes,b cannot target a
Bowler,GoblinMachine,b,5,9,13.10,0,,
Bowler,Goblins,a,1,0,2.00,1,yes,
Bowler,Goblinstein,a,9,0,22.00,9,yes,b cannot target a
Bowler,GoldenKnight,b,5,13,14.30,0,,
Bowler,Golem,a,18,0,44.50,18,yes,b cannot target a
Bowler,Golemite,a,4,0,9.50,4,yes,b cannot target a
Bowler,Heal,a,1,1,2.00,0,,
Bowler,HogRider,a,6,0,14.50,6,yes,b cannot target a
Bowler,IceGolemite,a,5,0,12.00,5,yes,b cannot target a
Bowler,IceSpirits,a,1,1,2.00,0,,
Bowler,IceWizard,a,3,5,9.00,0,,
Bowler,InfernoDragon,b,0,11,5.70,11,yes,a cannot target b
Bowler,InfernoTower,b,0,9,4.40,9,yes,
Bowler,KingTower,b,7,23,22.50,6,,
Bowler,Knight,b,6,11,15.50,0,,
Bowler,LavaHound,neither,0,0,0.00,0,,neither can target the other
Bowler,LavaPups,b,0,26,45.60,26,yes,a cannot target b
Bowler,LittlePrince,a,3,7,9.00,0,,
Bowler,MegaKnight,b,6,8,15.90,0,,
Bowler,MegaMinion,b,0,7,12.50,7,yes,a cannot target b
Bowler,MightyMiner,b,3,12,7.50,0,,
Bowler,Miner,a,5,8,12.00,1,,
Bowler,MiniPekka,b,2,3,6.43,0,,
Bowler,MiniSparkys,a,2,2,5.17,0,,
Bowler,MinionHorde,b,0,20,24.50,20,yes,a cannot target b
Bowler,Minions,b,0,20,24.50,20,yes,a cannot target b
Bowler,Monk,b,6,15,14.60,0,,
Bowler,Mortar,a,5,4,22.00,0,,
Bowler,MovingCannon,b,2,10,8.50,4,,
Bowler,Musketeer,b,2,10,9.30,5,,
Bowler,Musketeer_EV1,b,2,10,9.30,5,,
Bowler,Pekka,b,3,3,8.63,0,,
Bowler,Phoenix,b,0,10,11.80,10,yes,a cannot target b
Bowler,Prince,b,4,6,10.30,0,,
Bowler,PrincessTower,b,5,23,17.60,9,,
Bowler,RageBarbarian,b,3,9,8.45,0,,
Bowler,RamRider,a,7,0,17.00,7,yes,b cannot target a
Bowler,RascalGirl,a,1,3,3.33,0,,
Bowler,Rascals,a,7,9,17.00,1,,
Bowler,Ronin,b,4,6,9.87,0,,
Bowler,RoyalGiant,a,11,0,28.33,11,yes,b cannot target a
Bowler,RoyalHogs,a,3,0,7.00,3,yes,b cannot target a
Bowler,RoyalRecruits,a,3,3,7.00,1,,
Bowler,SkeletonArmy,a,1,0,2.00,1,yes,
Bowler,SkeletonDragons,b,0,14,27.93,14,yes,a cannot target b
Bowler,SkeletonKing,a,8,10,19.50,1,,
Bowler,SkeletonWarriors,a,2,3,4.50,1,,
Bowler,Skeletons,a,1,0,2.00,1,yes,
Bowler,SpearGoblins,a,1,2,3.33,0,,
Bowler,Tesla,b,3,10,10.60,3,,
Bowler,ThreeMusketeers,a,4,9,12.17,0,,
Bowler,Valkyrie,b,6,8,14.70,0,,
Bowler,Wallbreakers,a,2,0,4.50,2,yes,b cannot target a
Bowler,Witch,a,3,8,9.00,0,,
Bowler,WitchMother,a,2,6,6.50,0,,
Bowler,Wizard,a,3,6,9.00,0,,
Bowler,Wizard_EV1,b,3,8,10.80,3,,
Bowler,Xbow,b,1,36,14.00,30,,
Bowler,ZapMachine,b,2,2,7.00,1,,
Bowler,goblinstein_doctor,a,3,5,9.00,0,,
BushGoblin,Cannon,b,0,2,1.10,2,yes,
BushGoblin,DarkPrince,b,1,2,2.40,1,,
BushGoblin,DarkWitch,b,0,2,1.85,2,yes,
BushGoblin,DartBarrell,b,0,2,1.70,2,yes,a cannot target b
BushGoblin,ElectroDragon,b,0,2,3.50,2,yes,a cannot target b
BushGoblin,ElectroGiant,a,16,0,22.50,16,yes,b cannot target a
BushGoblin,ElectroSpirit,a,1,1,2.80,0,,
BushGoblin,ElectroWizard,b,0,3,4.80,3,yes,
BushGoblin,EliteArcher,b,0,3,2.60,3,yes,
BushGoblin,ElixirGolem,a,7,0,9.50,7,yes,b cannot target a
BushGoblin,ElixirGolem2,a,3,0,3.90,3,yes,b cannot target a
BushGoblin,ElixirGolem4,a,2,0,2.50,2,yes,b cannot target a
BushGoblin,FireSpirits,a,1,1,2.80,0,,
BushGoblin,Firecracker,a,2,2,7.70,0,,
BushGoblin,FirespiritHut,b,0,2,2.90,2,yes,
BushGoblin,Fisherman,b,1,2,2.50,1,,
BushGoblin,Ghost,b,0,2,3.00,2,yes,a cannot target b
BushGoblin,Giant,a,16,0,22.50,16,yes,b cannot target a
BushGoblin,GiantBuffer,a,11,0,15.50,11,yes,b cannot target a
BushGoblin,GiantSkeleton,b,1,2,2.30,1,,
BushGoblin,GoblinDemolisher,b,0,2,1.70,2,yes,
BushGoblin,GoblinGang,a,1,1,1.10,0,,
BushGoblin,GoblinGiant,a,13,0,18.30,13,yes,b cannot target a
