# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# rows are defenders, columns are attackers, tournament standard.
# cell is 'hits alone / troop hits + tower hits when a Princess Tower fires too', both engaged from tick zero.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
DarkPrince,5/3+7,14/7+8,8/4+8,14/7+8,5/1+14,9/5+6,9/5+7,10/5+10,,8/1+15,9/4+9,9/4+9,18/7+10,6/3+10,,15/9+7,10/6+6,8/4+9,8/4+9,6/4+7,6/3+9,6/4+7,8/5+6,6/4+7,5/4+6,10/5+7,9/4+10,,16/1+16,14/5+11,11/6+8,,,,8/1+15,3/1+14,23/3+14,9/4+10,9/5+9,11/1+15,6/4+9,,,6/4+7,9/5+7,12/6+9,,8/4+7,12/6+9,,10/6+7,,,14/1+16,,,14/1+16,17/5+12,12/8+6,11/8+6,17/7+10,8/5+7,,18/5+12,3/1+14,15/6+10,6/1+14,6/4+8,5/4+8,11/9+5,9/4+8,3/3+6,14/4+12,15/6+10,15/6+10,11/7+7,6/2+11,8/5+6,8/5+6,8/5+6,3/2+6,8/5+6,5/3+7,6/5+5,,12/6+9,8/4+8,2/1+14,5/3+7,,,12/5+10,18/7+10,10/4+11,8/4+9,14/6+9,18/7+10,9/1+15,18/5+12,8/4+7,8/4+8,6/4+8,,11/6+8,12/6+8,6/4+7,6/4+7,26/15+8,9/1+15,2/1+4,11/4+11
DarkWitch,3/2+3,9/4+5,5/2+5,9/4+5,3/1+6,5/3+4,6/4+4,6/3+6,,4/1+8,5/3+5,5/3+5,12/4+7,4/2+5,,9/5+5,6/4+4,5/2+6,5/2+5,4/3+4,4/2+6,4/2+5,5/3+4,4/2+5,3/2+4,6/3+5,5/2+6,,10/1+9,8/3+7,7/4+5,,,,5/1+8,2/1+3,15/2+9,6/2+6,5/3+5,7/1+9,4/2+5,,,4/2+4,5/3+4,8/4+5,,4/3+4,8/4+5,,6/3+5,,,9/1+9,,,9/1+9,11/3+7,11/6+5,10/5+4,10/4+6,5/3+4,,12/3+8,1/1+1,9/4+6,4/1+7,4/2+5,3/2+4,9/6+4,5/3+5,2/1+2,8/2+8,9/4+6,9/4+6,7/4+4,4/1+7,5/3+3,5/3+3,5/3+3,2/1+2,5/3+4,3/2+3,4/3+3,,8/4+5,5/2+6,1/1+1,3/2+4,,,7/3+6,12/4+7,6/2+7,5/2+6,8/4+5,12/4+7,6/1+8,12/3+8,5/3+4,5/3+5,4/2+5,,7/4+5,7/4+5,4/2+4,4/2+4,16/9+5,5/1+8,1/1+4,7/2+7
DartBarrell,,6/3+4,3/2+3,6/3+4,2/1+3,,4/2+3,4/2+4,,3/1+5,,,8/3+5,,,,5/3+3,,,,,,,,,4/2+3,4/1+5,,7/1+6,6/2+5,5/2+4,,,,3/1+5,1/1+1,10/1+6,4/2+4,,5/1+6,,,,,,,,,,,,,,6/1+6,,,6/1+6,7/2+5,9/4+4,8/4+4,7/3+4,,,8/2+5,1/1+1,6/3+5,3/1+4,,2/1+4,,,,6/2+5,6/3+4,6/3+4,,,,3/2+2,3/2+2,,3/2+2,,,,5/2+4,,1/1+1,,,,,,5/2+5,,,,4/1+5,8/2+5,3/2+3,4/2+3,,,5/2+4,5/2+4,3/2+4,3/2+4,,4/1+5,,5/2+4
ElectroDragon,,10/5+6,5/3+5,10/5+6,3/1+8,,6/4+4,7/3+6,,5/1+9,,,13/5+7,,,,7/4+5,,,,,,,,,7/4+5,6/3+8,,11/1+11,9/3+8,8/4+6,,,,6/1+10,2/1+4,17/2+11,6/3+6,,8/1+10,,,,,,,,,,,,,,10/1+11,,,10/1+11,12/4+8,11/7+5,11/6+5,12/5+7,,,13/4+8,1/1+1,11/4+7,4/1+9,,4/2+5,,,,9/3+8,10/4+7,10/4+7,,,,5/3+5,5/3+5,,5/3+5,,,,9/4+6,,1/1+1,,,,,,7/3+8,,,,6/1+10,13/4+8,5/3+5,6/3+5,,,8/4+6,8/4+6,4/3+5,4/3+5,,6/1+10,,8/3+7
ElectroGiant,11/7+14,36/19+21,18/11+17,36/19+21,11/1+39,21/13+16,23/14+16,24/11+23,,18/1+41,21/11+20,21/11+20,49/18+28,15/8+20,,39/23+18,27/16+17,18/9+22,18/9+21,17/11+15,14/7+22,16/9+18,20/13+16,15/9+17,13/9+14,24/13+19,21/9+25,,40/1+42,34/12+28,30/15+21,,,,20/1+41,6/1+36,62/9+37,23/11+23,21/11+20,27/1+42,16/9+20,,,15/9+16,22/13+18,32/16+22,,18/11+16,32/16+22,,25/15+17,,,36/1+42,,,36/1+42,45/14+30,18/14+9,14/10+7,43/19+24,20/12+18,,49/14+31,4/1+32,38/16+25,15/1+41,15/9+19,13/8+16,17/14+8,21/12+19,6/5+10,34/11+30,37/16+25,37/16+25,29/17+18,15/5+29,19/13+15,19/12+15,19/12+15,5/4+9,19/12+15,11/7+14,16/12+12,,32/17+21,19/10+20,3/1+27,11/8+14,,,30/14+23,49/19+27,27/10+27,20/10+21,34/17+22,49/19+27,23/1+42,49/15+30,18/12+17,20/11+19,15/9+17,,30/15+21,30/16+20,15/9+16,15/9+16,69/38+19,21/1+41,3/3+14,30/11+27
ElectroSpirit,1/1+2,2/1+2,1/1+2,2/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,1/1+1,2/1+2,2/1+2,3/1+2,1/1+3,,3/1+2,2/1+1,1/1+2,1/1+3,1/1+1,1/0+3,1/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+1,,,,2/1+1,1/1+1,4/0+3,2/1+2,2/1+2,2/1+1,1/1+2,,,1/1+2,2/1+1,2/1+1,,1/1+1,2/1+1,,2/1+1,,,2/1+2,,,2/1+2,3/1+2,6/1+2,6/1+2,3/1+2,2/1+1,,3/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/1+2,2/1+2,1/1+2,2/1+2,3/1+2,3/1+2,2/1+1,1/0+3,2/1+1,1/1+1,1/1+1,1/1+2,1/1+1,1/1+2,1/1+1,,2/1+1,1/1+2,1/1+1,1/1+2,,,2/1+2,3/1+2,2/1+3,2/1+2,2/1+2,3/1+2,2/1+1,3/1+2,1/1+1,2/1+1,1/1+2,,2/1+1,2/1+1,1/1+2,1/1+2,4/3+2,2/1+1,1/0+3,2/1+2
ElectroWizard,2/2+3,7/4+4,4/2+3,7/4+4,2/1+4,4/2+4,4/3+3,5/2+5,,4/1+6,4/2+4,4/2+4,9/3+6,3/1+5,,7/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+7,7/2+6,6/3+4,,,,4/1+6,2/1+1,12/2+7,4/2+4,4/2+4,5/1+7,3/2+4,,,3/2+3,4/2+4,6/3+4,,4/2+3,6/3+4,,5/3+4,,,7/1+7,,,7/1+7,9/2+6,10/5+4,9/4+4,8/3+5,4/2+4,,9/2+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,7/2+6,7/3+5,7/3+5,6/3+4,3/1+5,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/2+5,9/4+5,5/2+5,4/2+4,7/3+4,9/4+5,4/1+6,9/2+6,4/2+3,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,13/7+4,4/1+6,1/1+4,6/2+5
EliteArcher,2/1+2,5/3+3,3/2+3,5/3+3,2/1+2,3/2+3,3/2+2,4/1+4,,3/1+4,3/2+4,3/2+4,7/2+4,2/1+3,,6/3+3,4/2+3,3/1+4,3/1+4,3/2+3,2/1+3,3/1+3,3/2+2,2/1+3,2/1+3,4/2+3,3/1+4,,6/1+5,5/2+4,4/2+3,,,,3/1+4,1/1+1,9/1+6,3/1+4,3/1+4,4/1+5,3/1+3,,,2/1+3,3/2+3,5/2+4,,3/2+3,5/2+4,,4/2+3,,,5/1+5,,,5/1+5,6/2+4,8/4+4,7/4+4,6/2+4,3/2+3,,7/2+4,1/1+1,6/2+4,2/1+3,2/1+3,2/1+3,7/5+3,3/2+3,1/1+2,5/1+5,5/2+4,5/2+4,4/2+3,2/1+5,3/2+2,3/2+2,3/2+2,1/1+2,3/2+2,2/1+2,3/2+2,,5/2+4,3/1+4,1/1+1,2/1+2,,,4/2+3,7/2+4,4/1+5,3/1+4,5/2+4,7/2+4,3/1+4,7/2+4,3/2+3,3/2+3,2/1+3,,4/2+3,4/2+3,2/1+3,2/1+3,10/5+3,3/1+4,1/1+4,4/2+4
Elixir Collector,3/2+4,10/5+6,5/3+5,10/5+6,3/1+8,6/4+5,6/4+4,7/3+7,2/1+5,5/1+10,6/3+6,6/3+6,14/5+8,4/2+6,4/1+9,11/6+5,8/5+5,5/2+7,5/2+7,5/3+4,4/2+6,5/3+5,6/4+4,5/3+5,4/3+4,7/4+5,6/3+8,7/3+7,11/1+11,10/3+8,8/4+6,5/3+4,9/5+6,17/6+8,6/1+10,2/1+5,17/2+11,6/3+6,6/3+6,8/1+11,5/2+6,5/3+6,7/3+7,4/3+5,6/4+5,9/4+7,7/3+6,5/3+5,9/4+7,9/4+7,7/4+5,4/2+6,13/3+9,10/1+11,4/2+5,13/3+9,10/1+11,13/4+8,11/7+5,11/6+5,12/5+7,6/3+6,21/5+9,14/4+9,2/1+1,11/5+8,4/1+9,4/2+6,4/2+5,10/7+4,6/3+6,2/1+4,10/3+8,10/4+7,10/4+7,8/5+5,5/1+9,6/4+4,5/3+5,5/3+5,2/1+3,5/3+5,3/2+4,5/3+4,5/3+6,9/5+6,5/3+6,1/1+1,3/2+4,4/2+5,15/5+8,9/4+6,14/5+8,8/3+8,6/3+6,10/5+6,14/5+8,6/1+10,14/4+9,5/3+5,6/3+5,5/2+6,4/1+9,8/4+6,9/4+6,4/3+5,4/3+5,19/11+6,6/1+10,1/1+4,8/3+8
ElixirGolem,5/3+5,15/7+9,7/4+8,15/7+9,5/1+14,9/5+7,9/6+7,10/5+10,,7/1+15,9/4+9,9/4+9,20/7+11,6/3+9,,16/9+8,11/7+7,8/4+9,7/4+9,7/4+7,6/3+9,7/4+7,8/5+7,6/4+7,5/4+6,10/5+8,9/4+10,,16/1+16,14/5+11,12/6+9,,,,8/1+15,3/1+10,25/3+15,9/4+10,9/5+9,11/1+16,7/3+9,,,6/4+7,9/5+7,13/6+9,,7/4+7,13/6+9,,10/6+7,,,15/1+16,,,15/1+16,18/5+13,12/8+6,11/8+6,18/8+10,8/5+7,,20/6+12,2/1+6,16/7+11,6/1+15,6/4+8,6/3+7,11/9+5,9/5+8,3/2+4,14/4+12,15/7+10,15/7+10,12/7+7,6/2+12,8/5+6,8/5+6,8/5+6,2/2+4,8/5+6,5/3+5,7/5+5,,13/6+9,8/4+8,2/1+1,5/3+5,,,12/5+10,20/7+11,11/4+11,8/4+9,14/7+9,20/7+11,9/1+16,20/6+12,8/5+7,8/5+8,6/4+8,,12/6+9,12/6+9,6/4+7,6/4+7,28/15+8,9/1+15,2/1+4,12/5+11
ElixirGolem2,2/2+3,7/4+4,4/2+4,7/4+4,3/1+5,4/3+4,5/3+3,5/2+5,,4/1+6,4/2+5,4/2+5,10/3+6,3/2+5,,8/4+4,6/3+4,4/2+4,4/2+5,4/2+3,3/1+6,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+8,7/2+6,6/3+4,,,,4/1+7,2/1+1,12/2+7,5/2+5,4/2+5,6/1+7,3/2+4,,,3/2+3,5/3+4,7/3+5,,4/2+4,7/3+5,,5/3+4,,,7/1+8,,,7/1+8,9/3+6,10/5+4,9/4+4,9/4+5,4/2+4,,10/3+6,1/1+1,8/3+5,3/1+6,3/2+4,3/2+4,8/6+4,4/2+5,2/1+2,7/2+6,8/3+5,8/3+5,6/3+4,3/1+6,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,7/3+5,4/2+4,1/1+1,3/2+4,,,6/3+5,10/4+5,6/2+5,4/2+4,7/3+5,10/4+5,5/1+7,10/3+6,4/2+4,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,14/7+4,4/1+7,1/1+4,6/2+6
ElixirGolem4,1/1+2,4/2+2,2/1+2,4/2+2,1/1+1,2/1+2,3/1+2,3/1+3,,2/1+2,2/1+2,2/1+2,5/2+3,2/1+3,,4/2+2,3/2+2,2/1+2,2/1+3,2/1+2,2/1+3,2/1+2,2/1+2,2/1+2,2/1+1,3/1+3,2/1+2,,4/1+3,4/1+3,3/2+2,,,,2/1+2,1/1+1,6/1+4,3/1+2,2/1+2,3/1+3,2/1+2,,,2/1+2,2/1+2,3/2+3,,2/1+2,3/2+3,,3/2+3,,,4/1+3,,,4/1+3,5/1+3,7/3+3,6/2+3,4/2+2,2/1+2,,5/2+4,1/1+1,4/1+3,2/1+1,2/1+2,2/1+2,6/3+3,2/1+2,1/1+2,4/1+3,4/1+3,4/1+3,3/2+2,2/0+4,2/1+2,2/1+2,2/1+2,1/1+2,2/1+2,1/1+2,2/1+2,,3/2+2,2/1+2,1/1+1,1/1+2,,,3/1+3,5/2+3,3/1+3,2/1+2,4/2+2,5/2+3,3/1+2,5/1+4,2/1+2,2/1+2,2/1+2,,3/2+2,3/1+3,2/1+2,2/1+2,7/4+2,2/1+2,1/0+4,3/1+3
FireSpirits,1/1+2,2/1+2,1/1+2,2/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,1/1+1,2/1+2,2/1+2,3/1+2,1/1+3,,3/1+2,2/1+1,1/1+2,1/1+3,1/1+1,1/0+3,1/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+1,,,,2/1+1,1/1+1,4/0+3,2/1+2,2/1+2,2/1+1,1/1+2,,,1/1+2,2/1+1,2/1+1,,1/1+1,2/1+1,,2/1+1,,,2/1+2,,,2/1+2,3/1+2,6/1+2,6/1+2,3/1+2,2/1+1,,3/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/1+2,2/1+2,1/1+2,2/1+2,3/1+2,3/1+2,2/1+1,1/0+3,2/1+1,1/1+1,1/1+1,1/1+2,1/1+1,1/1+2,1/1+1,,2/1+1,1/1+2,1/1+1,1/1+2,,,2/1+2,3/1+2,2/1+3,2/1+2,2/1+2,3/1+2,2/1+1,3/1+2,1/1+1,2/1+1,1/1+2,,2/1+1,2/1+1,1/1+2,1/1+2,4/3+2,2/1+1,1/0+3,2/1+2
Firecracker,1/1+2,3/2+2,2/1+2,3/2+2,1/1+1,2/1+2,2/1+2,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+3,2/1+3,,3/2+2,3/1+2,2/1+2,2/1+3,2/1+1,2/1+3,2/1+2,2/1+2,2/1+2,1/1+1,2/1+2,2/1+2,,4/1+3,3/1+3,3/1+2,,,,2/1+2,1/1+1,5/1+3,2/1+2,2/1+2,3/1+2,2/1+2,,,2/1+2,2/1+2,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+3,,,3/1+3,4/1+3,7/2+3,6/2+3,4/2+2,2/1+2,,4/1+3,1/1+1,3/1+3,2/1+1,2/1+2,1/1+2,6/3+2,2/1+2,1/1+2,3/1+3,3/1+3,3/1+3,3/1+2,2/0+4,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,2/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,3/1+2,4/1+3,3/1+3,2/1+2,3/2+2,4/1+3,2/1+2,4/1+3,2/1+1,2/1+2,2/1+2,,3/1+2,3/1+2,2/1+2,2/1+2,6/3+2,2/1+2,1/0+4,3/1+2
FirespiritHut,2/2+3,7/4+4,4/2+4,7/4+4,2/1+4,4/2+4,5/3+3,5/2+5,,4/1+6,4/2+4,4/2+4,9/3+6,3/1+5,,8/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+7,7/2+6,6/3+4,,,,4/1+6,2/1+1,12/2+7,5/2+5,4/2+4,5/1+7,3/2+4,,,3/2+3,4/2+4,6/3+4,,4/2+3,6/3+4,,5/3+4,,,7/1+7,,,7/1+7,9/2+6,10/5+4,9/4+4,8/3+5,4/2+4,,9/3+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,7/2+6,7/3+5,7/3+5,6/3+4,3/1+6,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/3+5,9/4+5,5/2+5,4/2+4,7/3+5,9/4+5,5/1+6,9/3+6,4/2+4,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,13/7+4,4/1+6,1/1+4,6/2+5
Fisherman,3/2+3,8/4+5,4/2+5,8/4+5,3/1+6,5/3+4,5/3+4,6/2+6,,4/1+7,5/3+5,5/3+5,11/4+6,4/2+5,,9/5+4,6/4+4,4/2+5,4/2+5,4/3+4,4/2+6,4/2+4,5/3+3,4/2+4,3/2+3,6/3+4,5/2+6,,9/1+9,8/3+7,7/4+5,,,,5/1+8,2/1+2,14/2+9,5/2+6,5/3+5,6/1+8,4/2+4,,,4/2+4,5/3+4,7/4+5,,4/3+4,7/4+5,,6/3+5,,,8/1+9,,,8/1+9,10/3+7,11/6+5,10/5+4,10/4+6,5/3+4,,11/3+7,1/1+1,9/4+6,4/1+7,4/2+4,3/2+4,9/6+4,5/3+5,2/1+2,8/2+7,9/3+6,9/3+6,7/4+4,4/1+7,5/3+3,5/3+3,5/3+3,2/1+2,5/3+4,3/2+3,4/3+3,,7/4+5,5/2+5,1/1+1,3/2+4,,,7/3+6,11/4+6,6/2+7,5/2+6,8/4+5,11/4+6,5/1+8,11/3+7,4/3+4,5/3+5,4/2+4,,7/4+5,7/4+5,4/2+4,4/2+4,15/9+5,5/1+8,1/1+4,7/2+7
Ghost,,11/6+7,6/3+6,11/6+7,4/1+10,,7/5+6,8/3+8,,6/1+11,,,15/5+9,,,,9/5+5,,,,,,,,,8/4+6,7/3+8,,13/1+13,11/4+9,9/5+7,,,,6/1+11,2/1+6,19/3+12,7/3+8,,9/1+12,,,,,,,,,,,,,,11/1+12,,,11/1+12,14/4+10,12/8+6,11/7+5,14/6+8,,,15/4+10,2/1+2,12/5+8,5/1+11,,4/3+6,,,,11/3+10,12/5+8,12/5+8,,,,6/4+5,6/4+5,,6/4+5,,,,10/5+7,,1/1+1,,,,,,9/3+9,,,,7/1+12,15/4+10,6/4+6,6/4+6,,,9/5+7,10/5+6,5/3+5,5/3+5,,7/1+12,,9/3+9
Giant,11/7+14,36/19+21,18/11+17,36/19+21,11/1+40,21/13+16,23/14+16,24/12+23,,18/1+41,21/11+21,21/11+21,49/18+28,15/8+20,,39/23+18,27/16+17,18/9+22,18/9+22,17/11+15,14/7+22,16/10+18,20/13+16,15/10+18,13/9+14,24/13+19,21/9+25,,41/1+43,34/12+28,30/15+22,,,,20/1+41,6/1+36,62/9+37,23/11+23,21/11+20,27/1+42,16/9+20,,,15/10+16,22/13+18,32/16+22,,18/11+16,32/16+22,,25/15+17,,,37/1+42,,,37/1+42,45/14+30,18/14+9,14/10+7,44/19+25,20/12+18,,49/14+31,4/1+32,39/17+26,15/1+41,15/9+19,13/8+16,17/14+8,21/12+19,6/5+10,34/11+30,38/16+25,38/16+25,29/17+18,15/5+29,19/13+15,19/12+15,19/12+15,5/4+9,19/12+15,11/7+14,16/12+12,,32/17+21,19/10+20,3/1+27,11/8+14,,,30/14+23,49/19+27,27/10+27,20/10+21,34/17+22,49/19+27,23/1+42,49/15+30,19/12+17,20/11+19,15/9+18,,30/15+22,30/16+20,15/9+16,15/9+16,69/39+20,21/1+42,3/3+14,30/11+27
GiantBuffer,8/5+10,26/13+15,13/8+12,26/13+15,8/1+27,15/9+12,16/10+12,17/8+16,,13/1+29,15/8+14,15/8+14,35/13+20,11/6+15,,28/16+13,19/12+12,13/7+16,13/6+16,12/8+11,10/5+16,11/7+12,14/9+11,11/7+12,9/6+11,17/9+14,15/7+18,,29/1+30,25/9+20,21/11+15,,,,14/1+29,5/1+24,44/7+26,16/7+17,15/8+14,20/1+29,11/6+14,,,11/7+12,16/9+13,23/11+16,,13/8+12,23/11+16,,18/11+13,,,26/1+30,,,26/1+30,32/10+21,15/11+7,13/9+6,31/14+17,14/9+13,,35/10+22,3/1+20,28/12+18,11/1+28,11/6+14,10/6+11,14/12+7,15/8+14,4/3+6,25/8+22,27/11+18,27/11+18,21/12+13,11/3+22,14/9+10,13/9+11,13/9+11,4/3+7,13/9+11,8/5+10,11/8+9,,23/12+15,13/7+15,2/1+15,8/6+11,,,22/10+17,35/14+19,19/7+20,14/7+16,25/12+16,35/14+19,16/1+29,35/10+22,13/8+12,14/8+13,11/7+14,,21/11+15,22/11+15,11/7+12,11/7+12,49/27+14,15/1+29,3/2+9,21/8+19
GiantSkeleton,9/6+12,31/16+18,15/9+15,31/16+18,10/1+33,18/11+14,19/12+14,21/10+19,,15/1+35,18/10+18,18/10+18,42/15+24,13/7+18,,33/20+15,23/14+14,16/8+18,15/8+18,14/9+13,12/6+19,14/8+15,17/11+13,13/8+14,11/7+13,20/12+16,18/8+21,,34/1+36,29/10+24,25/13+18,,,,17/1+35,5/1+30,53/8+31,19/9+20,18/10+17,23/1+35,13/7+17,,,13/8+13,19/11+15,27/13+19,,15/9+14,27/13+19,,21/13+15,,,31/1+36,,,31/1+36,38/12+25,17/12+8,13/10+7,37/16+21,17/10+15,,42/12+26,4/1+26,33/14+21,13/1+34,13/7+17,11/7+13,16/13+7,18/10+16,5/4+8,29/9+26,32/14+21,32/14+21,25/15+15,13/4+25,16/11+12,16/10+13,16/10+13,4/4+9,16/10+13,9/6+12,14/10+10,,27/14+18,16/9+17,3/1+21,10/7+12,,,26/12+20,42/16+23,23/9+23,17/9+18,29/14+19,42/16+23,19/1+35,42/12+26,16/10+14,17/10+16,13/8+15,,25/13+18,26/13+18,12/8+14,12/8+14,58/33+17,18/1+35,3/2+9,25/10+22
GoblinCage,3/2+3,7/4+4,4/2+4,7/4+4,3/1+5,5/3+4,5/3+3,5/2+5,2/1+3,4/1+6,5/2+5,5/2+5,10/3+6,3/2+5,3/1+6,8/5+4,6/3+4,4/2+4,4/2+5,4/2+4,3/1+6,4/2+4,4/3+3,3/2+4,3/2+3,5/3+4,5/2+5,5/2+5,8/1+8,7/2+6,6/3+5,4/2+3,7/3+5,13/4+6,4/1+7,2/1+1,13/2+8,5/2+5,5/2+5,6/1+7,3/2+4,4/2+4,6/3+6,3/2+3,5/3+4,7/3+5,5/2+5,4/2+4,7/3+5,7/3+5,5/3+4,3/2+6,10/2+7,8/1+8,3/2+4,10/2+7,8/1+8,9/3+6,11/5+4,9/5+4,9/4+5,4/3+4,15/4+7,10/3+6,1/1+1,8/3+6,3/1+6,3/2+4,3/2+4,8/6+4,5/2+5,2/1+2,7/2+6,8/3+5,8/3+5,6/3+4,3/1+6,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,4/2+3,4/2+4,7/3+5,4/2+4,1/1+1,3/2+4,3/2+4,11/4+6,6/3+5,10/4+5,6/2+6,4/2+5,7/3+5,10/4+5,5/1+7,10/3+6,4/2+4,4/2+5,3/2+4,3/1+6,6/3+5,6/3+5,3/2+4,3/2+4,14/8+4,5/1+7,1/1+4,6/2+6
GoblinDemolisher,4/3+5,12/6+7,6/4+6,12/6+7,4/1+11,7/4+6,8/5+6,8/4+8,,6/1+12,7/4+7,7/4+7,17/6+9,5/3+8,,13/8+6,9/5+6,6/3+7,6/3+7,6/4+6,5/2+8,6/3+6,7/4+6,5/3+6,5/3+4,8/4+7,7/3+8,,14/1+14,12/4+10,10/5+7,,,,7/1+12,2/1+7,21/3+13,8/4+8,7/4+7,9/1+13,5/3+7,,,5/3+6,7/4+7,11/5+8,,6/4+6,11/5+8,,9/5+6,,,12/1+13,,,12/1+13,15/5+11,12/8+6,11/7+5,15/6+9,7/4+6,,17/5+10,2/1+3,13/5+9,5/1+12,5/3+6,5/3+6,11/8+5,7/4+6,2/2+4,12/4+11,13/5+9,13/5+9,10/6+6,5/2+11,7/4+5,6/4+5,6/4+5,2/2+4,6/4+5,4/3+5,6/4+4,,11/6+7,6/4+8,1/1+1,4/3+5,,,10/5+8,17/6+9,9/3+10,7/3+8,12/6+7,17/6+9,8/1+13,17/5+10,6/4+6,7/4+6,5/3+6,,10/5+7,10/5+7,5/3+5,5/3+5,23/13+7,7/1+13,1/1+4,10/4+9
GoblinDrill,7/5+9,23/12+14,12/7+11,23/12+14,7/1+24,14/8+11,15/9+11,16/8+15,,12/1+26,14/7+14,14/7+14,32/12+18,10/5+14,,26/15+12,17/11+11,12/6+14,12/6+14,11/7+10,9/5+16,10/6+12,13/8+11,10/6+11,9/6+9,15/9+12,14/6+16,,26/1+27,22/8+18,19/10+14,,,,13/1+26,4/1+21,40/6+24,15/7+15,14/8+13,18/1+27,10/6+13,,,10/6+10,14/8+12,21/10+15,,12/7+11,21/10+15,,16/10+12,,,24/1+27,,,24/1+27,29/9+20,15/10+7,12/9+6,28/12+16,13/8+12,,32/9+20,3/1+17,25/11+17,10/1+25,10/6+13,9/5+11,14/11+6,14/8+13,4/3+6,22/7+19,24/11+16,24/11+16,19/11+12,10/3+20,13/8+10,12/8+10,12/8+10,4/3+7,12/8+10,7/5+9,10/8+8,,21/11+14,12/7+13,2/1+12,7/5+9,,,20/9+15,32/12+18,17/7+18,13/7+14,22/11+14,32/12+18,15/1+26,32/9+20,12/8+11,13/7+13,10/6+12,,19/10+14,20/10+14,10/6+11,10/6+11,45/25+13,14/1+26,2/2+9,19/7+18
