# generated by cr_sim.data.interactions -- build unknown, 2026-08-27
# computed = ceil(effective_hitpoints / damage), honouring shields, crown-tower percent, air/ground and damage ramps. 'sim:hits/win' cells (where present) come from an actual Battle duel instead of arithmetic. Regenerate; do not hand-edit.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,PrincessTower,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
IceSpirits,1,2,1,2,1,2,2,2,,1,2,2,3,1,,3,2,1,1,1,1,1,2,1,1,2,2,,3,2,2,,,,2,1,4,2,2,2,1,,,1,2,2,,1,2,,2,,,2,,,2,3,6,6,3,2,,3,1,3,1,1,1,6,2,1,2,3,3,2,1,2,1,1,1,1,1,3,1,,2,1,1,1,,,2,3,2,2,2,3,2,3,1,2,1,,2,2,1,1,4,2,1,2
IceWizard,2,7,4,7,2,4,4,5,,3,4,4,9,3,,7,5,4,4,3,3,3,4,3,3,5,4,,7,6,6,,,,4,1,11,4,4,5,3,,,3,4,6,,3,6,,5,,,7,,,7,8,10,8,8,4,,9,1,7,3,3,3,8,4,1,6,7,7,5,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,6,9,4,9,4,4,3,,6,6,3,3,12,4,1,6
InfernoDragon,,12,6,12,4,,8,8,,6,,,16,,,,9,,,,,,,,,8,7,,14,12,10,,,,7,2,21,8,,9,,,,,,,,,,,,,,12,,,12,15,12,11,15,,,16,2,13,5,,5,,,,12,13,13,,,,6,6,,6,,15,,,11,,1,,,,,,9,,,,8,16,6,7,,,10,10,5,5,,7,,10
InfernoTower,5,16,8,16,5,10,10,11,3,8,10,10,22,7,7,18,12,8,8,8,7,7,9,7,6,11,10,11,18,15,13,7,14,28,9,3,28,10,10,12,7,7,12,7,10,14,10,8,14,14,11,6,21,16,6,21,16,20,13,11,19,9,33,22,2,17,7,7,6,12,10,3,15,17,17,13,7,9,9,9,3,9,5,19,7,7,14,9,2,5,6,24,14,22,12,9,15,22,10,22,8,9,7,7,13,14,7,7,31,10,2,13
KingTower,11,38,19,38,58,22,24,26,7,19,22,22,53,16,15,42,28,20,19,18,15,17,21,16,14,25,22,26,43,37,32,17,33,66,21,25,66,24,22,115,17,17,28,16,23,34,24,19,34,33,27,14,51,39,14,51,39,48,19,14,46,21,80,53,16,41,125,16,14,18,112,6,37,40,40,31,16,20,20,20,6,20,11,46,17,17,34,20,13,12,14,58,32,53,28,21,37,53,96,53,20,21,16,16,32,32,16,16,73,88,4,32
Knight,5,16,8,16,5,10,10,11,,8,10,10,22,7,,18,12,8,8,8,7,7,9,7,6,11,10,,18,16,14,,,,9,3,28,10,10,12,7,,,7,10,15,,8,15,,11,,,17,,,17,20,13,11,20,9,,22,2,17,7,7,6,12,10,3,16,17,17,13,7,9,9,9,3,9,5,20,7,,15,9,2,5,,,14,22,12,9,16,22,10,22,9,9,7,,14,14,7,7,31,10,2,14
LavaHound,,32,16,32,10,,21,22,,16,,,45,,,,24,,,,,,,,,21,19,,37,31,27,,,,18,6,56,21,,25,,,,,,,,,,,,,,33,,,33,41,17,14,39,,,45,4,35,14,,12,,,,31,34,34,,,,17,17,,17,,39,,,29,,3,,,,,,24,,,,21,45,17,18,,,27,27,13,13,,19,,27
LavaPups,,2,1,2,1,,2,2,,1,,,3,,,,2,,,,,,,,,2,2,,3,2,2,,,,2,1,4,2,,2,,,,,,,,,,,,,,2,,,2,3,6,5,3,,,3,1,3,1,,1,,,,2,3,3,,,,1,1,,1,,3,,,2,,1,,,,,,2,,,,2,3,1,2,,,2,2,1,1,,2,,2
LittlePrince,2,7,4,7,2,4,4,5,,4,4,4,9,3,,7,5,4,4,3,3,3,4,3,3,5,4,,8,6,6,,,,4,2,11,4,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,8,10,9,8,4,,9,1,7,3,3,3,8,4,1,6,7,7,5,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,6,9,4,9,4,4,3,,6,6,3,3,13,4,1,6
MegaKnight,11,36,18,36,11,21,23,24,,18,21,21,50,15,,40,27,18,18,17,14,16,20,16,13,24,21,,41,35,30,,,,20,6,63,23,21,27,16,,,15,22,32,,18,32,,25,,,37,,,37,45,18,14,44,20,,50,4,39,15,15,13,17,21,6,35,38,38,29,16,19,19,19,5,19,11,44,16,,32,19,3,11,,,31,50,27,20,35,50,23,50,19,20,16,,30,31,15,15,69,21,3,30
MegaMinion,,8,4,8,3,,5,5,,4,,,11,,,,6,,,,,,,,,5,5,,9,8,7,,,,5,2,14,5,,6,,,,,,,,,,,,,,8,,,8,10,11,9,10,,,11,1,9,4,,3,,,,8,8,8,,,,4,4,,4,,10,,,7,,1,,,,,,6,,,,5,11,4,5,,,7,7,3,3,,5,,7
MightyMiner,6,21,10,21,7,12,13,14,,10,12,12,28,9,,23,15,11,10,10,8,9,12,9,8,14,12,,23,20,17,,,,11,4,36,13,12,16,9,,,9,13,18,,10,18,,14,,,21,,,21,26,14,12,25,12,,28,3,22,9,9,8,13,12,3,20,22,22,17,9,11,11,11,3,11,6,25,9,,18,11,2,7,,,17,28,15,12,20,28,13,28,11,12,9,,17,17,9,9,39,12,2,17
Miner,4,11,6,11,4,7,7,8,,6,7,7,15,5,,12,9,6,6,5,5,5,6,5,4,8,7,,13,11,9,,,,6,2,19,7,7,9,5,,,5,7,10,,6,10,,8,,,11,,,11,14,12,11,14,6,,15,2,12,5,5,4,10,7,2,11,12,12,9,5,6,6,6,2,6,4,14,5,,10,6,1,4,,,10,15,9,6,11,15,7,15,6,6,5,,9,10,5,5,21,7,1,9
MiniPekka,4,13,7,13,4,8,8,9,,6,8,8,18,6,,14,10,7,7,6,5,6,7,6,5,9,8,,15,12,11,,,,7,3,22,8,8,10,6,,,6,8,12,,6,12,,9,,,13,,,13,16,12,11,16,7,,18,2,14,6,6,5,11,8,2,12,13,13,10,6,7,7,7,2,7,4,16,6,,12,7,1,4,,,11,18,10,7,12,18,8,18,7,7,6,,11,11,5,5,24,8,2,11
MiniSparkys,2,5,3,5,2,3,3,4,,3,3,3,7,2,,6,4,3,3,3,2,3,3,2,2,4,3,,6,5,4,,,,3,1,9,3,3,4,3,,,2,3,5,,3,5,,4,,,5,,,5,6,8,7,6,3,,7,1,6,2,2,2,7,3,1,5,5,5,4,2,3,3,3,1,3,2,6,3,,5,3,1,2,,,4,7,4,3,5,7,3,7,3,3,2,,4,4,2,2,10,3,1,4
MinionHorde,,3,2,3,1,,2,2,,1,,,3,,,,2,,,,,,,,,2,2,,3,2,2,,,,2,1,4,2,,2,,,,,,,,,,,,,,3,,,3,3,6,6,3,,,3,1,3,1,,1,,,,2,3,3,,,,2,2,,2,,3,,,2,,1,,,,,,2,,,,2,3,2,2,,,2,2,1,1,,2,,2
Minions,,3,2,3,1,,2,2,,1,,,3,,,,2,,,,,,,,,2,2,,3,2,2,,,,2,1,4,2,,2,,,,,,,,,,,,,,3,,,3,3,6,6,3,,,3,1,3,1,,1,,,,2,3,3,,,,2,2,,2,,3,,,2,,1,,,,,,2,,,,2,3,2,2,,,2,2,1,1,,2,,2
Monk,6,20,10,20,7,12,13,14,,10,12,12,28,9,,22,15,10,10,10,8,9,11,9,8,13,12,,23,19,17,,,,11,4,35,13,12,15,9,,,9,12,18,,10,18,,14,,,21,,,21,25,14,12,25,11,,28,3,22,9,9,8,13,12,3,19,21,21,16,9,11,11,11,3,11,6,25,9,,18,11,2,6,,,17,28,15,11,19,28,13,28,11,11,9,,17,17,8,8,39,12,2,17
Mortar,4,13,7,13,4,8,8,9,3,6,8,8,17,6,5,14,10,7,7,6,5,6,7,6,5,9,8,9,14,12,11,6,11,22,7,2,22,8,8,10,6,6,9,5,8,11,8,6,11,11,9,5,17,13,5,17,13,16,12,11,15,7,26,17,2,14,6,6,5,11,8,2,12,13,13,10,6,7,7,7,2,7,4,15,6,6,11,7,1,4,5,19,11,17,10,7,12,17,8,17,7,7,6,5,11,11,5,5,24,8,2,11
MovingCannon,5,17,9,17,5,10,11,11,,8,10,10,23,7,,18,12,9,9,8,7,8,9,7,6,11,10,,19,16,14,,,,9,3,29,11,10,13,7,,,7,10,15,,8,15,,12,,,17,,,17,21,13,11,20,9,,23,2,18,7,7,6,12,10,3,16,17,17,13,7,9,9,9,3,9,5,20,8,,15,9,2,5,,,14,23,12,9,16,23,11,23,9,9,7,,14,14,7,7,32,10,2,14
Musketeer,2,7,4,7,2,4,5,5,,4,4,4,9,3,,8,5,4,4,3,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,5,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,9,10,9,8,4,,9,1,7,3,3,3,8,4,1,7,7,7,6,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,7,9,5,9,4,4,3,,6,6,3,3,13,4,1,6
Musketeer_EV1,2,7,4,7,2,4,5,5,,4,4,4,9,3,,8,5,4,4,3,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,5,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,9,10,9,8,4,,9,1,7,3,3,3,8,4,1,7,7,7,6,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,7,9,5,9,4,4,3,,6,6,3,3,13,4,1,6
Pekka,10,34,17,34,11,20,22,23,,17,20,20,47,15,,37,25,17,17,16,14,15,19,15,12,22,20,,38,33,28,,,,19,6,59,22,20,26,15,,,14,21,31,,17,31,,24,,,35,,,35,43,18,14,41,19,,47,4,37,15,15,13,17,20,5,33,36,36,27,15,18,18,18,5,18,10,41,15,,31,18,3,11,,,29,47,25,19,33,47,22,47,18,19,15,,28,29,14,14,65,20,3,28
Phoenix,,10,5,10,3,,6,7,,5,,,13,,,,7,,,,,,,,,7,6,,11,9,8,,,,6,2,17,6,,8,,,,,,,,,,,,,,10,,,10,12,11,11,12,,,13,1,11,4,,4,,,,9,10,10,,,,5,5,,5,,12,,,9,,1,,,,,,7,,,,6,13,5,6,,,8,8,4,4,,6,,8
PhoenixEgg,1,3,2,3,1,2,2,2,,2,2,2,4,2,,4,3,2,2,2,2,2,2,2,2,2,2,,4,3,3,,,,2,1,5,2,2,3,2,,,2,2,3,,2,3,,2,,,3,,,3,4,7,6,4,2,,4,1,4,2,2,2,6,2,1,3,3,3,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,4,3,2,3,4,2,4,2,2,2,,3,3,2,2,6,2,1,3
Prince,5,18,9,18,6,10,11,12,,9,10,10,24,8,,19,13,9,9,8,7,8,10,8,7,12,10,,20,17,15,,,,10,3,30,11,10,13,8,,,7,11,16,,9,16,,12,,,18,,,18,22,13,12,21,10,,24,2,19,8,8,7,12,10,3,17,18,18,14,8,10,9,9,3,9,5,21,8,,16,9,2,6,,,15,24,13,10,17,24,11,24,9,10,8,,15,15,7,7,34,10,2,15
Princess,1,3,2,3,1,2,2,2,,2,2,2,4,1,,3,2,2,2,2,1,2,2,1,1,2,2,,3,3,2,,,,2,1,5,2,2,2,1,,,1,2,3,,2,3,,2,,,3,,,3,3,6,6,3,2,,4,1,3,1,1,1,6,2,1,3,3,3,2,1,2,2,2,1,2,1,3,2,,3,2,1,1,,,2,4,2,2,3,4,2,4,2,2,1,,2,2,1,1,5,2,1,2
PrincessTower,7,23,12,23,36,14,15,16,5,12,14,14,32,10,10,26,18,12,12,11,9,11,13,10,9,16,14,16,27,23,20,11,21,41,13,15,41,15,14,70,10,11,17,10,14,21,15,12,21,21,16,9,31,24,9,31,24,29,15,12,28,13,49,32,10,25,76,10,9,14,68,4,23,25,25,19,10,13,12,12,4,12,7,28,11,11,21,12,8,7,9,35,20,32,18,13,23,32,59,32,12,13,10,10,20,20,10,10,45,54,2,20
Rage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RageBarbarian,4,12,6,12,4,7,8,8,,6,7,7,16,5,,13,9,6,6,6,5,6,7,5,5,8,7,,13,11,10,,,,7,2,21,8,7,9,5,,,5,7,11,,6,11,,8,,,12,,,12,15,12,11,14,7,,16,2,13,5,5,5,11,7,2,11,12,12,10,5,7,6,6,2,6,4,14,6,,11,6,1,4,,,10,16,9,7,11,16,8,16,6,7,5,,10,10,5,5,23,7,1,10
RamRider,5,16,8,16,5,10,10,11,,8,10,10,22,7,,18,12,8,8,8,7,7,9,7,6,11,10,,18,16,14,,,,9,3,28,10,10,12,7,,,7,10,15,,8,15,,11,,,17,,,17,20,13,11,20,9,,22,2,17,7,7,6,12,10,3,16,17,17,13,7,9,9,9,3,9,5,20,7,,15,9,2,5,,,14,22,12,9,16,22,10,22,9,9,7,,14,14,7,7,31,10,2,14
RascalGirl,1,3,2,3,1,2,2,2,,2,2,2,4,1,,3,2,2,2,2,1,2,2,1,1,2,2,,3,3,2,,,,2,1,5,2,2,2,1,,,1,2,3,,2,3,,2,,,3,,,3,3,6,6,3,2,,4,1,3,1,1,1,6,2,1,3,3,3,2,1,2,2,2,1,2,1,3,2,,3,2,1,1,,,2,4,2,2,3,4,2,4,2,2,1,,2,2,1,1,5,2,1,2
Rascals,5,17,9,17,6,10,11,11,,8,10,10,23,7,,18,13,9,9,8,7,8,10,7,6,11,10,,19,16,14,,,,9,3,29,11,10,13,8,,,7,10,15,,8,15,,12,,,17,,,17,21,13,11,20,10,,23,2,18,7,7,6,12,10,3,16,18,18,14,7,9,9,9,3,9,5,20,8,,15,9,2,5,,,14,23,13,9,16,23,11,23,9,9,7,,14,14,7,7,32,10,2,14
Ronin,5,16,8,16,5,10,10,11,,8,10,10,22,7,,18,12,9,8,8,7,7,9,7,6,11,10,,18,16,14,,,,9,3,28,10,10,13,7,,,7,10,15,,8,15,,12,,,17,,,17,20,13,11,20,9,,22,2,18,7,7,6,12,10,3,16,17,17,13,7,9,9,9,3,9,5,20,7,,15,9,2,5,,,14,22,12,9,16,22,10,22,9,9,7,,14,14,7,7,31,10,2,14
RoyalDelivery,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RoyalGiant,9,29,15,29,9,17,18,19,,14,17,17,40,12,,32,21,15,15,13,11,13,16,12,11,19,17,,32,28,24,,,,16,5,50,18,17,22,13,,,12,18,26,,14,26,,20,,,29,,,29,36,16,13,35,16,,40,3,31,12,12,11,15,17,5,28,30,30,23,12,15,15,15,4,15,9,35,13,,26,15,3,9,,,24,40,21,16,28,40,18,40,15,16,12,,24,24,12,12,55,17,3,24
RoyalHogs,3,8,4,8,3,5,5,5,,4,5,5,11,4,,9,6,4,4,4,3,4,5,4,3,5,5,,9,8,7,,,,5,2,14,5,5,6,4,,,4,5,7,,4,7,,6,,,8,,,8,10,11,9,10,5,,11,1,9,4,4,3,9,5,2,8,8,8,6,4,4,4,4,1,4,3,10,4,,7,4,1,3,,,7,11,6,5,8,11,5,11,4,5,4,,7,7,3,3,15,5,1,7
RoyalRecruits,3,8,5,8,3,5,6,6,,5,5,5,10,4,,9,6,5,5,4,3,4,5,4,3,6,5,,9,8,7,,,,5,2,13,6,5,6,4,,,3,5,7,,5,7,,6,,,8,,,8,10,16,14,9,5,,10,2,9,4,4,3,13,5,2,8,9,9,6,4,5,5,5,2,5,3,9,4,,7,5,2,3,,,7,10,6,5,8,10,6,10,5,5,4,,7,7,3,3,15,5,2,7
SkeletonArmy,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,1,2,1,1,1,1,,,1,1,1,,1,1,,1,,,1,,,1,1,3,2,1,1,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1
SkeletonBalloon,,5,3,5,2,,3,4,,3,,,7,,,,4,,,,,,,,,4,3,,6,5,4,,,,3,1,9,3,,4,,,,,,,,,,,,,,5,,,5,6,8,8,6,,,7,1,6,2,,2,,,,5,5,5,,,,3,3,,3,,6,,,5,,1,,,,,,4,,,,3,7,3,3,,,4,4,2,2,,3,,4
SkeletonBalloon_EV1,,6,3,6,2,,4,4,,3,,,9,,,,5,,,,,,,,,4,4,,7,6,5,,,,4,1,11,4,,5,,,,,,,,,,,,,,7,,,7,8,10,8,8,,,9,1,7,3,,3,,,,6,7,7,,,,4,4,,4,,8,,,6,,1,,,,,,5,,,,4,9,4,4,,,5,5,3,3,,4,,5
SkeletonDragons,,5,3,5,2,,4,4,,3,,,7,,,,4,,,,,,,,,4,3,,6,5,5,,,,3,1,9,4,,4,,,,,,,,,,,,,,6,,,6,7,9,8,7,,,7,1,6,3,,2,,,,5,6,6,,,,3,3,,3,,7,,,5,,1,,,,,,4,,,,4,7,3,3,,,5,5,2,2,,3,,5
SkeletonKing,6,21,11,21,7,12,13,14,,10,12,12,29,9,,23,16,11,11,10,8,9,12,9,8,14,12,,24,20,18,,,,12,4,36,13,12,16,9,,,9,13,19,,10,19,,15,,,21,,,21,26,14,12,25,12,,29,3,23,9,9,8,13,12,4,20,22,22,17,9,11,11,11,3,11,6,25,9,,19,11,2,7,,,18,29,16,12,20,29,13,29,11,12,9,,18,18,9,9,40,12,2,18
SkeletonWarriors,2,4,3,4,2,3,3,3,,3,3,3,5,2,,4,3,3,3,3,2,2,3,2,2,3,3,,4,4,3,,,,3,2,6,3,3,3,2,,,2,3,4,,3,4,,3,,,4,,,4,4,11,8,4,3,,5,2,4,2,2,2,8,3,2,4,4,4,3,2,3,3,3,2,3,2,4,2,,4,3,2,2,,,3,5,3,3,4,5,3,5,3,3,2,,3,3,2,2,7,3,2,3
SkeletonWarriors#shield,1,3,2,3,1,2,2,2,,2,2,2,4,1,,3,2,2,2,2,1,1,2,1,1,2,2,,3,3,2,,,,2,1,4,2,2,2,1,,,1,2,3,,2,3,,2,,,3,,,3,3,6,6,3,2,,4,1,3,1,1,1,6,2,1,3,3,3,2,1,2,2,2,1,2,1,3,1,,3,2,1,1,,,2,4,2,2,3,4,2,4,2,2,1,,2,2,1,1,5,2,1,2
Skeletons,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,1,2,1,1,1,1,,,1,1,1,,1,1,,1,,,1,,,1,1,3,2,1,1,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1
SpearGoblins,1,2,1,2,1,1,1,1,,1,1,1,2,1,,2,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,,,,1,1,3,1,1,1,1,,,1,1,2,,1,2,,1,,,2,,,2,2,4,4,2,1,,2,1,2,1,1,1,4,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,,2,1,1,1,,,1,2,1,1,2,2,1,2,1,1,1,,1,1,1,1,3,1,1,1
SuspiciousBush,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,1,2,1,1,1,1,,,1,1,1,,1,1,,1,,,1,,,1,1,3,2,1,1,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1
Tesla,4,11,6,11,4,7,7,8,2,6,7,7,15,5,5,12,8,6,6,5,5,5,6,5,4,7,7,8,12,11,9,5,10,19,6,2,19,7,7,8,5,5,8,5,7,10,7,6,10,10,8,4,15,11,4,15,11,14,11,11,13,6,23,15,2,12,5,5,4,10,7,2,11,12,12,9,5,6,6,6,2,6,4,13,5,5,10,6,1,4,4,16,9,15,8,6,11,15,7,15,6,6,5,5,9,9,5,5,21,7,1,9
ThreeMusketeers,3,8,4,8,3,5,5,6,,4,5,5,11,4,,9,6,4,4,4,4,4,5,4,3,6,5,,9,8,7,,,,5,2,14,5,5,6,4,,,4,5,8,,4,8,,6,,,9,,,9,10,11,10,10,5,,11,1,9,4,4,3,9,5,2,8,9,9,7,4,5,5,5,2,5,3,10,4,,8,5,1,3,,,7,11,6,5,8,11,5,11,5,5,4,,7,7,4,4,16,5,1,7
Tombstone,2,5,3,5,2,3,3,4,1,3,3,3,7,2,2,6,4,3,3,3,2,3,3,2,2,4,3,4,6,5,4,3,5,9,3,1,9,3,3,4,3,3,4,2,3,5,4,3,5,5,4,2,7,5,2,7,5,6,8,7,6,3,10,7,1,6,2,2,2,7,3,1,5,5,5,4,2,3,3,3,1,3,2,6,3,3,5,3,1,2,2,8,4,7,4,3,5,7,3,7,3,3,2,2,4,4,2,2,10,3,1,4
Valkyrie,5,18,9,18,6,10,11,12,,9,10,10,24,8,,19,13,9,9,8,7,8,10,8,7,12,10,,20,17,15,,,,10,3,30,11,10,13,8,,,7,11,16,,9,16,,12,,,18,,,18,22,13,12,21,10,,24,2,19,8,8,7,12,10,3,17,18,18,14,8,9,9,9,3,9,5,21,8,,16,9,2,6,,,15,24,13,10,17,24,11,24,9,10,8,,15,15,7,7,33,10,2,15
Wallbreakers,1,3,2,3,1,2,2,2,,2,2,2,5,2,,4,3,2,2,2,2,2,2,2,2,2,2,,4,3,3,,,,2,1,6,2,2,3,2,,,2,2,3,,2,3,,3,,,3,,,3,4,7,6,4,2,,5,1,4,2,2,2,6,2,1,3,4,4,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,5,3,2,3,5,2,5,2,2,2,,3,3,2,2,6,2,1,3
Witch,3,8,4,8,3,5,5,5,,4,5,5,11,4,,9,6,4,4,4,3,4,5,4,3,5,5,,9,8,7,,,,5,2,14,5,5,6,4,,,4,5,7,,4,7,,6,,,8,,,8,10,11,9,10,5,,11,1,9,4,4,3,9,5,2,8,8,8,6,4,4,4,4,1,4,3,10,4,,7,4,1,3,,,7,11,6,5,8,11,5,11,4,5,4,,7,7,3,3,15,5,1,7
WitchMother,2,5,3,5,2,3,3,4,,3,3,3,7,2,,6,4,3,3,3,2,3,3,2,2,4,3,,6,5,4,,,,3,1,9,3,3,4,3,,,2,3,5,,3,5,,4,,,5,,,5,6,8,7,6,3,,7,1,6,2,2,2,7,3,1,5,5,5,4,2,3,3,3,1,3,2,6,3,,5,3,1,2,,,4,7,4,3,5,7,3,7,3,3,2,,4,4,2,2,10,3,1,4
Wizard,2,7,4,7,3,4,5,5,,4,4,4,10,3,,8,5,4,4,4,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,5,4,6,3,,,3,5,7,,4,7,,5,,,7,,,7,9,10,9,9,4,,10,1,8,3,3,3,8,4,1,7,8,8,6,3,4,4,4,1,4,2,9,3,,7,4,1,3,,,6,10,5,4,7,10,5,10,4,4,3,,6,6,3,3,14,4,1,6
Wizard_EV1,3,9,5,9,4,5,7,7,,5,5,5,13,4,,10,7,5,5,5,4,4,5,4,4,7,5,,10,9,8,,,,5,3,15,7,5,8,4,,,4,7,9,,5,9,,7,,,9,,,9,12,16,14,12,5,,13,2,10,4,4,4,13,5,2,9,10,10,8,4,5,5,5,2,5,3,12,4,,9,5,2,4,,,8,13,7,5,9,13,7,13,5,5,4,,8,8,4,4,18,5,2,8
Wizard_EV1#shield,1,2,1,2,1,1,2,2,,1,1,1,3,1,,2,2,1,1,1,1,1,1,1,1,2,1,,2,2,2,,,,1,1,3,2,1,2,1,,,1,2,2,,1,2,,2,,,2,,,2,3,6,5,3,1,,3,1,2,1,1,1,5,1,1,2,2,2,2,1,1,1,1,1,1,1,3,1,,2,1,1,1,,,2,3,2,1,2,3,2,3,1,1,1,,2,2,1,1,4,1,1,2
Xbow,5,15,8,15,5,9,9,10,3,7,9,9,20,6,6,16,11,8,8,7,6,7,8,7,6,10,9,10,17,14,12,7,13,25,8,3,25,9,9,11,7,7,11,6,9,13,10,7,13,13,10,6,20,15,6,20,15,18,12,11,18,8,31,20,2,16,6,6,6,11,9,3,14,15,15,12,7,8,8,8,2,8,5,18,7,7,13,8,2,5,6,22,13,20,11,8,14,20,9,20,8,8,7,6,12,13,6,6,28,9,2,12
ZapMachine,4,13,7,13,4,8,9,9,,7,8,8,18,6,,15,10,7,7,6,6,6,8,6,5,9,8,,15,13,11,,,,8,3,23,9,8,10,6,,,6,8,12,,7,12,,10,,,14,,,14,17,12,11,16,8,,18,2,14,6,6,5,11,8,2,13,14,14,11,6,7,7,7,2,7,4,16,6,,12,7,1,4,,,11,18,10,8,13,18,9,18,7,8,6,,11,11,6,6,26,8,2,11
goblinstein_doctor,2,7,4,7,2,4,5,5,,4,4,4,9,3,,8,5,4,4,3,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,5,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,9,10,9,8,4,,9,1,7,3,3,3,8,4,1,7,7,7,6,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,7,9,5,9,4,4,3,,6,6,3,3,13,4,1,6
